	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	kegg_id	kegg_hit	kegg_RBH	kegg_identity	kegg_bitScore	kegg_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_hits	vogdb_description	vogdb_categories	heme_regulatory_motif_count
PKUV01_ENA|PKUV01000001|PKUV01000001.1_1	PKUV01	ENA|PKUV01000001|PKUV01000001.1	1	150	371	-1	C		actn:L083_3552  hypothetical protein	False	0.498	61.0	3.987e-10												0
PKUV01_ENA|PKUV01000001|PKUV01000001.1_2	PKUV01	ENA|PKUV01000001|PKUV01000001.1	2	433	579	-1	E																		0
PKUV01_ENA|PKUV01000001|PKUV01000001.1_3	PKUV01	ENA|PKUV01000001|PKUV01000001.1	3	1580	2578	1	C		aca:ACP_0443  oxidoreductase, zinc-binding dehydrogenase family	False	0.52	323.0	4.5509999999999974e-96								Zinc-binding dehydrogenase [PF00107.26]; Alcohol dehydrogenase GroES-like domain [PF08240.12]; Zinc-binding dehydrogenase [PF13602.6]				0
PKUV01_ENA|PKUV01000001|PKUV01000001.1_4	PKUV01	ENA|PKUV01000001|PKUV01000001.1	4	2689	3360	-1	C	K01061	dar:Daro_3231  dienelactone hydrolase; K01061 carboxymethylenebutenolidase [EC:3.1.1.45]	False	0.615	267.0	8.123e-79	MER0092863	S09X	MER0092863 - family S9 non-peptidase homologues (Polynucleobacter necessarius) [S09.UNW]#S09X#{peptidase unit: 14-221}~source ABP34490~	False	0.5820000000000001	235.0	6.798999999999998e-69	Dienelactone hydrolase family [PF01738.18]; Prolyl oligopeptidase family [PF00326.21]				0
PKUV01_ENA|PKUV01000001|PKUV01000001.1_5	PKUV01	ENA|PKUV01000001|PKUV01000001.1	5	3571	4200	-1	C		trs:Terro_4325  lipocalin	False	0.562	183.0	7.964e-50								Lipocalin-like domain [PF08212.12]		sp|P0A901|BLC_ECOLI Outer membrane lipoprotein Blc; Xh	Xh	0
PKUV01_ENA|PKUV01000001|PKUV01000001.1_6	PKUV01	ENA|PKUV01000001|PKUV01000001.1	6	4148	5113	-1	A		npu:Npun_F6474  aldo/keto reductase (EC:1.1.1.274)	True	0.7020000000000001	449.0	7.750999999999994e-140								Aldo/keto reductase family [PF00248.21]				0
PKUV01_ENA|PKUV01000001|PKUV01000001.1_7	PKUV01	ENA|PKUV01000001|PKUV01000001.1	7	5095	5268	-1	E																		0
PKUV01_ENA|PKUV01000001|PKUV01000001.1_8	PKUV01	ENA|PKUV01000001|PKUV01000001.1	8	5600	5845	1	C		aza:AZKH_2015  hypothetical protein	False	0.8109999999999999	131.0	3.298e-34												0
PKUV01_ENA|PKUV01000001|PKUV01000001.1_9	PKUV01	ENA|PKUV01000001|PKUV01000001.1	9	5982	7469	-1	A		rxy:Rxyl_2730  oxidoreductase protein	True	0.561	527.0	1.7119999999999987e-163								Oxidoreductase molybdopterin binding domain [PF00174.19]; Prokaryotic cytochrome b561 [PF01292.20]				0
PKUV01_ENA|PKUV01000001|PKUV01000001.1_10	PKUV01	ENA|PKUV01000001|PKUV01000001.1	10	7570	8109	-1	C		gme:Gmet_3491  hypothetical protein	False	0.6629999999999999	222.0	6.346999999999998e-64								Protein of unknown function, DUF488 [PF04343.13]				0
PKUV01_ENA|PKUV01000001|PKUV01000001.1_11	PKUV01	ENA|PKUV01000001|PKUV01000001.1	11	8455	8937	-1	D														Hemerythrin HHE cation binding domain [PF01814.23]				0
PKUV01_ENA|PKUV01000001|PKUV01000001.1_12	PKUV01	ENA|PKUV01000001|PKUV01000001.1	12	9010	9594	-1	C		gme:Gmet_1012  hemerythrin HHE cation binding protein	False	0.535	178.0	1.8679999999999998e-48								Hemerythrin HHE cation binding domain [PF01814.23]				0
